Status,PUID,Name,Version,Score
INCOMPLETE,fmt/273,Microsoft Works Word Processor Macintosh,4,0
INCOMPLETE,fmt/274,SPSS Output File (spv),[?],0
STUB,fmt/275,Microsoft Access Database,2007,5
STUB,fmt/276,Acrobat PDF 1.7 - Portable Document Format,1.7,5
STUB,fmt/277,ESRI Arc/View Shapefile Index,[?],5
STUB,fmt/278,Internet Message Format,[?],5
STUB,fmt/279,FLAC (Free Lossless Audio Codec),[?],5
STUB,fmt/28,AutoCAD Drawing,2.5,5
STUB,fmt/280,LaTeX (Master document),[?],5
STUB,fmt/281,LaTeX (Subdocument),[?],5
STUB,fmt/282,netCDF-3 Classic,[?],5
STUB,fmt/283,netCDF-3 64-bit,[?],5
STUB,fmt/284,Gridded Binary,1.0,5
STUB,fmt/285,Gridded Binary,2.0,5
STUB,fmt/286,HDF5,1.0,5
STUB,fmt/287,HDF5,2.0,5
STUB,fmt/288,Microsoft Front Page Server Extension Configuration,[?],5
STUB,fmt/289,WARC,[?],5
STUB,fmt/29,AutoCAD Drawing,2.6,5
STUB,fmt/290,OpenDocument Text,1.1,5
STUB,fmt/291,OpenDocument Text,1.2,5
STUB,fmt/292,OpenDocument Presentation,1.1,5
STUB,fmt/293,OpenDocument Presentation,1.2,5
STUB,fmt/294,OpenDocument Spreadsheet,1.1,5
STUB,fmt/295,OpenDocument Spreadsheet,1.2,5
STUB,fmt/296,OpenDocument Graphics,1.1,5
STUB,fmt/297,OpenDocument Graphics,1.2,5
STUB,fmt/298,Autodesk Animator Pro FLIC,[?],5
STUB,fmt/299,Autodesk Animator (FlicLib),[?],5
ADEQUATE,fmt/3,Graphics Interchange Format,1987a,7
STUB,fmt/30,AutoCAD Drawing,R9,5
STUB,fmt/300,ChiWriter Document,4,5
STUB,fmt/301,Computer Graphics Metafile ASCII,3,5
STUB,fmt/302,Computer Graphics Metafile ASCII,4,5
STUB,fmt/303,Computer Graphics Metafile (Binary),1,5
STUB,fmt/304,Computer Graphics Metafile (Binary),2,5
STUB,fmt/305,Computer Graphics Metafile (Binary),3,5
STUB,fmt/306,Computer Graphics Metafile (Binary),4,5
STUB,fmt/307,Quicken Interchange Format,[?],5
STUB,fmt/308,Quicken Data Format,[?],5
STUB,fmt/309,Open Financial Exchange,1.02,5
STUB,fmt/31,AutoCAD Drawing,R10,5
STUB,fmt/310,Open Financial Exchange,1.03,5
STUB,fmt/311,Open Financial Exchange,1.6,5
STUB,fmt/312,Open Financial Exchange,2.0.3,5
STUB,fmt/313,Open Financial Exchange,2.1.1,5
STUB,fmt/32,AutoCAD Drawing,R11/12,5
ADEQUATE,fmt/33,AutoCAD Drawing,R13,7
ADEQUATE,fmt/34,AutoCAD Drawing,R14,7
ADEQUATE,fmt/35,AutoCAD Drawing,2000-2002,7
STUB,fmt/36,AutoCAD Drawing,2004-2005,5
STUB,fmt/37,Microsoft Word for Windows Document,1.0,5
STUB,fmt/38,Microsoft Word for Windows Document,2.0,5
ADEQUATE,fmt/39,Microsoft Word for Windows Document,6.0/95,7
ADEQUATE,fmt/4,Graphics Interchange Format,1989a,7
STUB,fmt/40,Microsoft Word for Windows Document,[?],5
STUB,fmt/41,Raw JPEG Stream,[?],5
STUB,fmt/42,JPEG File Interchange Format,1.00,5
STUB,fmt/43,JPEG File Interchange Format,1.01,5
ADEQUATE,fmt/44,JPEG File Interchange Format,1.02,7
STUB,fmt/45,Rich Text Format,[?],5
STUB,fmt/46,Rich Text Format,[?],5
STUB,fmt/47,Rich Text Format,[?],5
STUB,fmt/48,Rich Text Format,[?],5
STUB,fmt/49,Rich Text Format,[?],5
ADEQUATE,fmt/5,Audio/Video Interleaved Format,[?],7
ADEQUATE,fmt/50,Rich Text Format,1.5,7
STUB,fmt/51,Rich Text Format,1.6,5
ADEQUATE,fmt/52,Rich Text Format,1.7,7
ADEQUATE,fmt/53,Rich Text Format,1.8,7
ADEQUATE,fmt/54,Drawing Interchange Binary Format,1.0,7
ADEQUATE,fmt/55,Microsoft Excel 2.1 Worksheet (xls),2,7
ADEQUATE,fmt/56,Microsoft Excel 3.0 Worlsheet (xls),3,7
ADEQUATE,fmt/57,Microsoft Excel 4.0 Worksheet (xls),4S,7
ADEQUATE,fmt/58,Microsoft Excel 4.0 Workbook (xls),4W,7
ADEQUATE,fmt/59,Microsoft Excel 5.0 Workbook (xls),5,7
STUB,fmt/6,Waveform Audio,[?],5
ADEQUATE,fmt/60,Microsoft Excel 95 Workbook (xls),7,7
ADEQUATE,fmt/61,Microsoft Excel 97 Workbook (xls),8,7
ADEQUATE,fmt/62,Microsoft Excel 2000-2003 Workbook (xls),8X,7
STUB,fmt/63,Drawing Interchange File Format (ASCII),Generic,5
STUB,fmt/64,Drawing Interchange File Format (ASCII),1.0,5
STUB,fmt/65,Drawing Interchange File Format (ASCII),1.2,5
STUB,fmt/66,Drawing Interchange File Format (ASCII),1.3,5
STUB,fmt/67,Drawing Interchange File Format (ASCII),1.4,5
